week,seller_name,title, price ,review_count,ratings,listings,total,sov
10/30/2023,Amazon.com - Seller,Audient Evo 4,$129.00 ,177,4.7,2,11,18%
10/30/2023,B&H Photo-Video-Audio,Audient Evo 4,$129.99 ,177,4.7,2,11,18%
10/30/2023,Sweetwater,Audient Evo 4,$129.00 ,217,4.7,2,11,18%
10/30/2023,Amazon.com - Seller,Audient Evo 4,$129.00 ,217,4.7,3,11,27%
10/30/2023,musicstore.com,Audient Evo 4,$99.00 ,177,4.7,1,11,9%
10/30/2023,Sweetwater,Audient Evo 4,$129.00 ,177,4.7,1,11,9%
10/30/2023,Sweetwater,Audient iD4 MKII USB-C Audio Interface,$199.00 ,190,4.8,1,1,100%
10/30/2023,Walmart,Audio Interface with Sound Card USB Mixer Voice Device DJ Karaoke Equipment with Adjustable Volume 16 Effects Support Bluetooth Connection for,$33.19 ,,,1,1,100%
10/30/2023,Amazon.com,Behringer U-Phoria UMC404HD USB Audio Interface,$179.00 ,,,14,17,82%
10/30/2023,Amazon.com,Behringer U-Phoria UMC404HD USB Audio Interface,$179.00 ,4,,3,17,18%
10/30/2023,Sweetwater,Behringer Xenyx X2222USB Mixer with USB and Effects,$309.00 ,195,4.7,2,2,100%
10/30/2023,Amazon.com,"Depusheng DT12 Studio Audio Mixer 12-Channel DJ Sound Controller Interface w/USB Drive for Computer Recording Input, XLR Microphone Jack, 48V Power,",$179.00 ,,,1,1,100%
10/30/2023,Industrial Parts R Us,Digidesign Digi001 MX001 8-Channel Recording Audio Interface,$38.00 ,,,1,1,100%
10/30/2023,Amazon.com,Elgato Wave XLR,$159.99 ,152,4.7,3,5,60%
10/30/2023,Amazon.com,Elgato Wave XLR,$159.99 ,151,4.7,1,5,20%
10/30/2023,Best Buy,Elgato Wave XLR,$159.99 ,151,4.7,1,5,20%
10/30/2023,Crutchfield,Focusrite Scarlett 2i2 (3rd Generation) USB 2.0 (Type-C) audio interface for Mac and PC,$169.99 ,,,4,4,100%
10/30/2023,Amazon.com,"Focusrite Scarlett 2i2 3rd Gen USB Audio Interface for Recording, Songwriting, Streaming and Podcasting — High-Fidelity, Studio Quality Recording,",$152.95 ,,,19,22,86%
10/30/2023,Amazon.com,"Focusrite Scarlett 2i2 3rd Gen USB Audio Interface for Recording, Songwriting, Streaming and Podcasting — High-Fidelity, Studio Quality Recording,",$152.95 ,2,,3,22,14%
10/30/2023,Best Buy,Focusrite Scarlett Solo 4th Gen USB Audio Interface,$139.99 ,239,4.8,2,21,10%
10/30/2023,Amazon.com,Focusrite Scarlett Solo 4th Gen USB Audio Interface,$139.99 ,233,4.8,8,21,38%
10/30/2023,Sweetwater,Focusrite Scarlett Solo 4th Gen USB Audio Interface,$139.99 ,233,4.8,6,21,29%
10/30/2023,Sweetwater,Focusrite Scarlett Solo 4th Gen USB Audio Interface,$139.99 ,239,4.8,1,21,5%
10/30/2023,Amazon.com,Focusrite Scarlett Solo 4th Gen USB Audio Interface,$139.99 ,239,4.8,4,21,19%
10/30/2023,Guitar Center,Focusrite Scarlett Solo USB Audio Interface (Gen 3),$129.99 ,1000,4.8,7,10,70%
10/30/2023,Music & Arts,Focusrite Scarlett Solo USB Audio Interface (Gen 3),$129.99 ,1000,4.8,3,10,30%
10/30/2023,Walmart,M-audio M-Track Solo 2-Channel USB Audio Interface,$49.00 ,171,4.6,4,7,57%
10/30/2023,Walmart,M-audio M-Track Solo 2-Channel USB Audio Interface,$49.00 ,180,4.6,3,7,43%
10/30/2023,sweetwater.com,MOTU M6 USB-C Audio Interface,$399.95 ,7,5,2,13,15%
10/30/2023,Amazon.com - Seller,MOTU M6 USB-C Audio Interface,$399.95 ,7,5,5,13,39%
10/30/2023,Sweetwater,MOTU M6 USB-C Audio Interface,$399.95 ,7,5,6,13,46%
